#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
30.0%	75000	100300.00001859879	-232170.38544335286	42803.599413246426	-189366.78603010642	295.8583721727559	171.36755396915962	1.011937605615753	314	81.34913921356201	3:12
30.4%	76000	100304.0000185996	-231457.41793089185	43619.69840910001	-187837.71952179185	301.4992463925613	171.36755396915962	1.011937605615753	314	82.44964742660522	3:11
30.8%	77000	100308.00001860042	-232052.31281738752	43498.90953598138	-188553.40328140615	300.664354003432	171.36755396915962	1.011937605615753	314	83.55134582519531	3:10
31.2%	78000	100312.00001860123	-232042.25175251183	43289.14765977051	-188753.10409274133	299.21448043928393	171.36755396915962	1.011937605615753	314	84.64878177642822	3:09
31.6%	79000	100316.00001860205	-231649.55378568423	43358.137825841826	-188291.4159598424	299.6913402947537	171.36755396915962	1.011937605615753	314	85.73696303367615	3:07
32.0%	80000	100320.00001860286	-231411.76093742665	42772.216939566344	-188639.5439978603	295.6414565931079	171.36755396915962	1.011937605615753	314	86.84843397140503	3:06
32.4%	81000	100324.00001860368	-231709.8193164788	43592.164997670756	-188117.65431880805	301.30893552157175	171.36755396915962	1.011937605615753	314	87.94392704963684	3:05
32.8%	82000	100328.00001860449	-230995.34358433733	43280.37293966818	-187714.97064466914	299.1538295958657	171.67294445934982	1.0101374610303953	314	89.06345844268799	3:04
33.2%	83000	100332.00001860531	-232273.43662273878	43928.65822493377	-188344.778397805	303.6347758674746	171.46450898648433	1.0113654030727082	314	90.14831495285034	3:03
33.6%	84000	100336.00001860612	-231396.80435104482	43810.95468274993	-187585.8496682949	302.82120927805596	171.6518607217573	1.010261534681978	314	91.23382019996643	3:02
34.0%	85000	100340.00001860694	-232697.83048476395	42995.53346846165	-189702.2970163023	297.185019882736	171.51622447371366	1.011060456676253	314	92.33524489402771	3:01
34.4%	86000	100344.00001860775	-232361.5596247604	43960.51209620143	-188401.047528559	303.85494974606985	171.51622447371366	1.011060456676253	314	93.42319059371948	3:00
34.8%	87000	100348.00001860857	-232365.57830865995	43598.77147780314	-188766.80683085683	301.35459949573635	171.51622447371366	1.011060456676253	314	94.50809526443481	2:59
35.2%	88000	100352.00001860938	-232041.85435927915	43538.95229984791	-188502.90205943125	300.9411294872055	171.51622447371366	1.011060456676253	314	95.6175971031189	2:58
35.6%	89000	100356.0000186102	-231937.02595075325	43207.454685298224	-188729.57126545502	298.6498188038925	171.51622447371366	1.011060456676253	315	96.69701814651489	2:56
36.0%	90000	100360.00001861101	-232310.83344276203	43664.97472954755	-188645.85871321446	301.8121962063435	171.51622447371366	1.011060456676253	314	97.80626702308655	2:55
36.4%	91000	100364.00001861183	-231403.46527889435	43977.01986493165	-187426.4454139627	303.9690514022782	171.51622447371366	1.011060456676253	314	98.93232464790344	2:54
