#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
10.4%	260000	520.0000000015274	-335258.92083160876	9472.644908201686	-325786.27592340705	297.8551533250816	27.434699447243258	1.2013554489255245	532	82.77923059463501	12:07
10.6%	265000	530.0000000012909	-335426.7605246913	9539.050611207826	-325887.7099134835	299.943195370596	27.281965599945018	1.208081050825978	532	84.40891480445862	12:05
10.8%	270000	540.0000000010544	-335279.0446083604	9457.398521538102	-325821.64608682226	297.3757502775332	27.281965599945018	1.208081050825978	532	86.04227805137634	12:04
11.0%	275000	550.000000000818	-335454.47440029297	9625.848012065511	-325828.62638822745	302.67242816578926	27.281965599945018	1.208081050825978	532	87.67188739776611	12:02
11.2%	280000	560.0000000005815	-335479.42845747725	9356.414860047302	-326123.01359742996	294.20044873628916	27.28322600555467	1.2080252409986114	532	89.29793381690979	12:00
11.4%	285000	570.000000000345	-335454.5667820651	9495.596963184547	-325958.96981888055	298.5768512164621	27.337088672728772	1.2056450511300854	532	90.92737579345703	11:59
11.6%	290000	580.0000000001086	-335616.85020176537	9452.585987737508	-326164.26421402785	297.22442633295924	27.247450873931065	1.209611343940913	532	92.55900812149048	11:57
11.8%	295000	589.9999999998721	-335813.6277188747	9551.61620506405	-326262.01151381066	300.33830433128617	27.292149580040356	1.2076302591674064	532	94.18691992759705	11:56
12.0%	300000	599.9999999996356	-335844.8843815639	9685.430057439304	-326159.4543241246	304.54590906074685	27.292149580040356	1.2076302591674064	532	95.85184478759766	11:54
12.2%	305000	609.9999999993992	-335890.08267557155	9553.697342028698	-326336.3853335428	300.4037430103144	27.38992767144731	1.2033191933156422	532	97.48088073730469	11:53
12.4%	310000	619.9999999991627	-335923.8112967198	9529.436082279837	-326394.37521444	299.64087885649184	27.33360258036287	1.2057988175425578	532	99.10417532920837	11:51
12.6%	315000	629.9999999989262	-335981.30207893054	9842.853691366556	-326138.448387564	309.49589304882977	27.33360258036287	1.2057988175425578	532	100.72904968261719	11:49
12.8%	320000	639.9999999986898	-335982.6860354403	9460.958596094655	-326521.7274393457	297.4876922497244	27.341266140181162	1.205460840825617	532	102.35383796691895	11:48
13.0%	325000	649.9999999984533	-335781.9632964138	9714.481388450295	-326067.4819079635	305.45939085347027	27.341266140181162	1.205460840825617	532	103.9788544178009	11:46
13.2%	330000	659.9999999982168	-336150.8470454856	9194.497606282894	-326956.34943920275	289.1091686436282	27.188102745384302	1.2122517697993895	532	105.61678194999695	11:45
13.4%	335000	669.9999999979804	-335885.9666618053	9514.417197625637	-326371.54946417967	299.16862931744544	27.188102745384302	1.2122517697993895	532	107.24399733543396	11:43
13.6%	340000	679.9999999977439	-336015.24391625775	9638.723080465767	-326376.520835792	303.07726815605525	27.29702506190517	1.2074145660867641	532	108.86926221847534	11:41
13.8%	345000	689.9999999975074	-335636.3508014752	9175.100661625074	-326461.2501398501	288.49925663055456	27.31849869313083	1.206465481167425	532	110.49617290496826	11:40
14.0%	350000	699.999999997271	-335785.0027118032	9448.48915123826	-326336.51356056496	297.09560657084876	27.31849869313083	1.206465481167425	532	112.15834212303162	11:38
14.2%	355000	709.9999999970345	-335943.2239115354	9560.03206048198	-326383.19185105345	300.6029300963351	27.279943564288413	1.2081705958411677	532	113.78964948654175	11:37
14.4%	360000	719.999999996798	-335872.8390118723	9535.750969559665	-326337.08804231265	299.8394423767327	27.29630185932309	1.2074465559635004	532	115.4160988330841	11:35
14.6%	365000	729.9999999965615	-335939.63930766366	9499.767407625563	-326439.8719000381	298.707985485766	27.300484843920938	1.2072615508115703	532	117.04051470756531	11:34
14.8%	370000	739.9999999963251	-335567.82353648264	9359.852444811968	-326207.9710916707	294.30853917428936	27.387641704263956	1.203419630885869	532	118.66368627548218	11:32
