zinc_id,gene_name,gene_name,affinity
ZINC000013761716,POL,POL,10.00
ZINC000014943305,POL,POL,10.00
ZINC000014943307,POL,POL,10.00
ZINC000014943322,POL,POL,10.00
ZINC000014943325,POL,POL,10.00
ZINC000014951356,POL,POL,10.00
ZINC000024465897,POL,POL,10.00
ZINC000026149526,POL,POL,10.00
ZINC000026573258,POL,POL,10.00
ZINC000026573265,POL,POL,10.00
ZINC000026667772,POL,POL,10.00
ZINC000026725376,POL,POL,10.00
ZINC000026815728,POL,POL,10.00
ZINC000027073372,POL,POL,10.00
ZINC000027323774,POL,POL,10.00
ZINC000027518049,POL,POL,10.00
ZINC000027518050,POL,POL,10.00
ZINC000027518051,POL,POL,10.00
ZINC000027518052,POL,POL,10.00
ZINC000027620102,POL,POL,10.00
ZINC000027623467,POL,POL,10.00
ZINC000028354438,POL,POL,10.00
ZINC000028354448,POL,POL,10.00
ZINC000028388820,POL,POL,10.00
ZINC000028388828,POL,POL,10.00
ZINC000028391932,POL,POL,10.00
ZINC000028391939,POL,POL,10.00
ZINC000028391949,POL,POL,10.00
ZINC000028391969,POL,POL,10.00
ZINC000028520601,POL,POL,10.00
ZINC000028770495,POL,POL,10.00
ZINC000029472947,POL,POL,10.00
ZINC000029472953,POL,POL,10.00
ZINC000029544250,POL,POL,10.00
ZINC000029556559,POL,POL,10.00
ZINC000049836735,POL,POL,10.00
ZINC000095542297,POL,POL,10.00
ZINC000095549018,POL,POL,10.00
ZINC000095612067,POL,POL,10.00
ZINC000095612344,POL,POL,10.00
ZINC000095612345,POL,POL,10.00
ZINC000095613747,POL,POL,10.00
ZINC000100014498,POL,POL,10.00
ZINC000100014504,POL,POL,10.00
ZINC000150345637,POL,POL,10.00
ZINC000150345639,POL,POL,10.00
ZINC000150345641,POL,POL,10.00
ZINC000150345642,POL,POL,10.00
ZINC000253633157,POL,POL,10.00
ZINC000253633160,POL,POL,10.00
ZINC000014951398,POL,POL,9.97
ZINC000014908094,POL,POL,9.96
ZINC000014945752,POL,POL,9.96
ZINC000014945773,POL,POL,9.96
ZINC000026167996,POL,POL,9.96
ZINC000026391897,POL,POL,9.96
ZINC000026393405,POL,POL,9.96
ZINC000026483581,POL,POL,9.96
ZINC000026666766,POL,POL,9.96
ZINC000027315604,POL,POL,9.96
ZINC000028349293,POL,POL,9.96
ZINC000028349302,POL,POL,9.96
ZINC000029241138,POL,POL,9.96
ZINC000029556333,POL,POL,9.96
ZINC000095541462,POL,POL,9.96
ZINC000095606767,POL,POL,9.96
ZINC000095608446,POL,POL,9.96
ZINC000253848545,POL,POL,9.96
ZINC000253848548,POL,POL,9.96
ZINC000253848552,POL,POL,9.96
ZINC000253848556,POL,POL,9.96
ZINC000261181962,POL,POL,9.96
ZINC000261181964,POL,POL,9.96
ZINC000261181965,POL,POL,9.96
ZINC000261181967,POL,POL,9.96
ZINC000027657268,POL,POL,9.95
ZINC000095610406,POL,POL,9.94
ZINC000003932734,POL,POL,9.92
ZINC000003932737,POL,POL,9.92
ZINC000026383958,POL,POL,9.92
ZINC000026393998,POL,POL,9.92
ZINC000026666681,POL,POL,9.92
ZINC000027103314,POL,POL,9.92
ZINC000029467824,POL,POL,9.92
ZINC000029467827,POL,POL,9.92
ZINC000049938407,POL,POL,9.92
ZINC000100769674,POL,POL,9.92
ZINC000014943323,POL,POL,9.89
ZINC000026380721,POL,POL,9.89
ZINC000026570739,POL,POL,9.89
ZINC000026570748,POL,POL,9.89
ZINC000026944149,POL,POL,9.89
ZINC000027092892,POL,POL,9.89
ZINC000027092900,POL,POL,9.89
ZINC000027105044,POL,POL,9.89
ZINC000027105492,POL,POL,9.89
ZINC000028349311,POL,POL,9.89
ZINC000028349323,POL,POL,9.89
ZINC000028368733,POL,POL,9.89
ZINC000028368743,POL,POL,9.89
ZINC000029414069,POL,POL,9.89
ZINC000029488929,POL,POL,9.89
ZINC000095588055,POL,POL,9.89
ZINC000150591312,POL,POL,9.89
ZINC000253635689,POL,POL,9.89
ZINC000253635693,POL,POL,9.89
ZINC000049794066,POL,POL,9.88
ZINC000003932740,POL,POL,9.85
ZINC000014954106,POL,POL,9.85
ZINC000026168819,POL,POL,9.85
ZINC000026568803,POL,POL,9.85
ZINC000026568809,POL,POL,9.85
ZINC000026666755,POL,POL,9.85
ZINC000026734111,POL,POL,9.85
ZINC000027085814,POL,POL,9.85
ZINC000027091484,POL,POL,9.85
ZINC000028368746,POL,POL,9.85
ZINC000028368749,POL,POL,9.85
ZINC000029238375,POL,POL,9.85
ZINC000029325580,POL,POL,9.85
ZINC000036140491,POL,POL,9.85
ZINC000036140495,POL,POL,9.85
ZINC000049720232,POL,POL,9.85
ZINC000049720438,POL,POL,9.85
ZINC000095610328,POL,POL,9.85
ZINC000169354672,POL,POL,9.85
ZINC000253898221,POL,POL,9.85
ZINC000253898224,POL,POL,9.85
ZINC000100781564,POL,POL,9.83
ZINC000100781576,POL,POL,9.83
ZINC000253642329,POL,POL,9.83
ZINC000253642332,POL,POL,9.83
ZINC000014943163,POL,POL,9.82
